129,51:52.384N,001:29.460W,0F,T,CHB,Charlbury*Z50
130,52:12.170N,001:15.064W,0F,T,CHW,Charwelton*Z50
131,52:28.437N,000:03.083E,0F,T,CHT,Chatteris*Z50
132,51:48.749N,001:56.577W,0F,T,CHE,Chedworth*Z50
133,51:54.963N,002:04.202W,0F,T,CHL,Cheltenham*Z50
134,51:52.606N,002:01.131W,0F,T,CME,Cheltenham East*Z50
135,53:14.172N,001:25.460W,0F,T,CHD,Chesterfield*Z50
136,50:50.160N,000:46.856W,0F,T,CHI,Chichester*Z50
137,51:06.284N,002:09.956W,0F,T,CKL,Chicklade*Z50
138,51:27.156N,001:18.628W,0F,T,CHV,Chieveley*Z50
139,51:08.702N,001:26.289W,0F,T,CBN,Chilbolton*Z50
140,51:40.344N,000:57.665W,0F,T,CNR,Chinnor*Z50
141,53:53.165N,002:37.242W,600F,AT,CHP,Chipping*Z100
142,52:03.183N,001:46.505W,0F,T,CHC,Chipping Campden*Z50
143,51:57.124N,001:31.484W,0F,T,CHN,Chipping Norton *Z50
144,52:08.722N,001:16.569W,0F,T,CWA,Chipping Warden*Z50
145,52:55.783N,003:03.836W,0F,T,CHK,Chirk*Z50
146,51:05.217N,004:09.017W,27F,AT,CVR,Chivenor*Z100
147,51:45.043N,002:00.050W,0F,T,CIQ,Ciren. Quarry*Z50
148,51:43.041N,001:58.078W,0F,T,CIR,Ciren. Church*Z50
149,53:08.624N,001:26.871W,0F,T,CCR,Clay Cross*Z50
150,52:06.204N,001:06.453E,0F,T,CLA,Claydon*Z50
151,52:23.879N,002:35.817W,0F,T,CLE,Clee*Z50
152,53:53.912N,002:20.707W,0F,T,CLI,Clitheroe*Z50
153,50:57.014N,000:44.969W,0F,T,COK,Cocking*Z50
154,51:54.652N,000:57.382E,0F,T,COC,Colchester*Z50
155,51:52.875N,000:47.029E,0F,T,COW,Colchester West*Z50
156,55:39.236N,002:14.492W,0F,T,COD,Coldstream*Z50
157,51:26.648N,002:16.962W,593F,AT,COL,Colerne*Z100
158,52:48.208N,000:36.657W,0F,T,CSW,Colsterworth*Z50
159,52:36.712N,002:46.093W,0F,T,CON,Condover*Z50
160,52:29.368N,000:40.627W,0F,T,COR,Corby*Z50
161,52:27.584N,000:44.222W,0F,T,COB,Corby South*Z50
162,52:58.776N,003:23.257W,0F,T,CWN,Corwen *Z50
163,52:39.519N,002:17.978W,0F,T,COS,Cosford Junction*Z50
164,52:38.250N,002:18.741W,271F,AT,CSF,Cosford Airfield*Z100
165,51:05.949N,000:31.561E,0F,T,CRB,Cranbrook*Z50
166,52:04.142N,000:37.226W,364F,AT,CFD,Cranfield 122.85*Z100
167,53:02.388N,000:29.436W,220F,AT,CRA,Cranwell North*Z100
168,52:26.375N,002:50.229W,0F,T,CVN,Craven Arms*Z50
169,51:53.130N,003:37.523W,0F,T,CRY,Cray Reservoir*Z50
170,50:46.990N,003:38.787W,0F,T,CRE,Crediton Station*Z50
171,50:47.318N,003:44.417W,0F,T,CRW,Crediton West*Z50
172,50:52.435N,002:46.754W,0F,T,CRK,Crewkerne*Z50
173,52:21.043N,001:09.277W,0F,T,CRC,Crick*Z50
