265,46:01:41N,006:58:17E,0,T,Col de Balme, *Z20
266,46:09:08N,006:47:37E,0,T,Col de Cou, *Z20
267,46:06:39N,007:09:37E,0,T,Col du Lin, *Z20
268,46:08:13N,009:22:17E,0,T,Colico K, *Z20
269,45:48:35N,009:04:34E,0,T,Como Bahnhof, *Z20
270,46:34:30N,012:07:00E,0,TA,CortnDmpzz, *Z100
271,45:47:34N,006:58:27E,0,T,Courmayeur K, *Z20
272,47:14:31N,007:20:35E,0,T,Court Bhf, *Z20
273,47:11:01N,007:05:27E,685,TA,Courtelary,124.60 *Z100
274,45:41:00N,006:53:00E,0,T,CPtStBrnrd, *Z20
275,46:30:15N,008:49:10E,0,T,CrBrgsttnSkl, *Z20
276,46:15:54N,007:29:18E,507,TL,Crete Longue, *Z50
277,47:03:10N,006:43:15E,0,T,CRochesPassh, *Z20
278,45:46:13N,006:31:37E,0,T,CSaisirsPssh, *Z20
279,46:40:30N,008:51:36E,0,T,Curaglia K, *Z20
280,47:12:59N,007:59:29E,0,T,DagmrsllnBhf, *Z20
281,46:48:41N,009:50:38E,0,T,DavosDorfBhf, *Z20
282,46:47:33N,009:49:17E,0,T,DavosPltzBhf, *Z20
283,48:15:00N,009:04:00E,0,TA,Degerfeld, *Z100
284,47:21:16N,007:20:25E,0,TL,Delemont, *Z50
285,47:21:48N,007:21:03E,0,T,Delemont Bhf, *Z20
286,47:30:27N,007:00:01E,0,T,Delle Kirche, *Z20
287,46:21:10N,007:09:23E,0,T,DiablertsBhf, *Z20
288,44:46:06N,005:21:12E,548,TL,Die, *Z50
289,46:19:40N,010:52:30E,0,T,Dimaro K, *Z20
290,46:42:05N,008:51:31E,1150,TL,Disentis, *Z50
291,47:26:24N,007:29:32E,536,TA,Dittingen,118.17 *Z100
292,46:04:54N,007:24:15E,0,T,DixanceStamr, *Z20
293,47:04:27N,006:57:41E,0,T,Dombresson K, *Z20
294,46:07:01N,008:17:57E,0,T,DomodosslBhf, *Z20
295,47:58:00N,008:31:00E,677,TA,Donaueschngn, *Z100
296,46:07:06N,007:02:30E,449,TL,Dorenaz, *Z50
297,47:22:59N,009:41:29E,412,TA,Dornbirn,121.20 *Z100
298,46:08:44N,007:02:46E,0,T,DornzRhnbrck, *Z20
299,47:23:54N,008:38:54E,442,TA,Dübendorf,128.47 *Z100
